ilce_adi,latitude,longitude,display_name
ADALAR,40.8741659,29.1293251,"Adalar, İstanbul, Marmara Bölgesi, Türkiye"
ARNAVUTKÖY,41.184471,28.7412446,"Arnavutköy, İstanbul, Marmara Bölgesi, Türkiye"
ATAŞEHİR,40.9929379,29.1135187,"Ataşehir, İstanbul, Marmara Bölgesi, Türkiye"
AVCILAR,40.9799389,28.7216689,"Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
BAHÇELİEVLER,41.0030495,28.8657701,"Bahçelievler, İstanbul, Marmara Bölgesi, Türkiye"
BAKIRKÖY,40.9782585,28.8744461,"Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
BAYRAMPAŞA,41.0345549,28.9118417,"Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
BAĞCILAR,41.034547,28.8567558,"Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
BAŞAKŞEHİR,41.1075794,28.7950711,"Başakşehir, İstanbul, Marmara Bölgesi, Türkiye"
BEYKOZ,41.1343001,29.0920378,"Beykoz, İstanbul, Marmara Bölgesi, Türkiye"
BEYLİKDÜZÜ,41.0037541,28.6372583,"Beylikdüzü, İstanbul, Marmara Bölgesi, Türkiye"
BEYOĞLU,41.0284233,28.9736808,"Beyoğlu, İstanbul, Marmara Bölgesi, Türkiye"
BEŞİKTAŞ,41.0428465,29.0075283,"Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye"
BÜYÜKÇEKMECE,41.021654,28.579757,"Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
ESENLER,41.0376175,28.8824519,"Esenler, İstanbul, Marmara Bölgesi, Türkiye"
ESENYURT,41.0342862,28.6801113,"Esenyurt, İstanbul, Marmara Bölgesi, Türkiye"
EYÜP,41.0478358,28.9327383,"Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
FATİH,41.0192846,28.9479296,"Fatih, İstanbul, Marmara Bölgesi, Türkiye"
GAZİOSMANPAŞA,41.0578305,28.9122452,"Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
GÜNGÖREN,41.0252832,28.8726498,"Güngören, İstanbul, Marmara Bölgesi, Türkiye"
KADIKÖY,40.9912955,29.0245631,"Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
KARTAL,40.88858,29.1856536,"Kartal, İstanbul, Marmara Bölgesi, Türkiye"
KAĞITHANE,41.0796544,28.9731198,"Kağıthane, Cendere Caddesi, Çağlayan Mahallesi, Merkez Mahallesi, Kâğıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye"
KÜÇÜKÇEKMECE,40.9918737,28.7711956,"Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
MALTEPE,40.9247539,29.1310782,"Maltepe, İstanbul, Marmara Bölgesi, Türkiye"
PENDİK,40.8768715,29.2349672,"Pendik, İstanbul, Marmara Bölgesi, Türkiye"
SANCAKTEPE,40.9905196,29.2288624,"Sancaktepe, İstanbul, Marmara Bölgesi, Türkiye"
SARIYER,41.1685803,29.0572623,"Sarıyer, İstanbul, Marmara Bölgesi, Türkiye"
SULTANBEYLİ,40.9670242,29.2671314,"Sultanbeyli, İstanbul, Marmara Bölgesi, Türkiye"
SULTANGAZİ,41.1043344,28.8614367,"Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
SİLİVRİ,41.0742476,28.2481709,"Silivri, İstanbul, Marmara Bölgesi, Türkiye"
TUZLA,40.8161732,29.3034194,"Tuzla, İstanbul, Marmara Bölgesi, Türkiye"
ZEYTİNBURNU,40.9898653,28.9037467,"Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
ÇATALCA,41.1436804,28.4605154,"Çatalca, İstanbul, Marmara Bölgesi, Türkiye"
ÇEKMEKÖY,41.0351579,29.1739149,"Çekmeköy, İstanbul, Marmara Bölgesi, Türkiye"
ÜMRANİYE,41.0256362,29.0963049,"Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
ÜSKÜDAR,41.0265498,29.0151321,"Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
ŞİLE,41.1744067,29.6125216,"Şile, İstanbul, Marmara Bölgesi, Türkiye"
ŞİŞLİ,41.0637891,28.9831642,"Şişli, İstanbul, Marmara Bölgesi, Türkiye"
