location_id,district,latitude,longitude,composite_risk_score
IST_024,KÜÇÜKÇEKMECE,40.9918737,28.7711956,53.5663720030455
IST_018,FATİH,41.0192846,28.9479296,53.02147498961784
IST_001,ADALAR,40.8741659,29.1293251,51.93307960776043
IST_005,BAHÇELİEVLER,41.0030495,28.8657701,44.36753441657672
IST_008,BAĞCILAR,41.034547,28.8567558,39.62088948686051
IST_016,ESENYURT,41.0342862,28.6801113,37.664767530447925
IST_006,BAKIRKÖY,40.9782585,28.8744461,34.72440388709101
IST_032,TUZLA,40.8161732,29.3034194,31.587525750952903
IST_026,PENDİK,40.8768715,29.2349672,28.740617134330154
IST_033,ZEYTİNBURNU,40.9898653,28.9037467,24.689924844338936
